user_id,event_type,product_id,product_name,product_category,price,event_timestamp,session_id,device_type
user_6486,view,PROD_9773,Winter Jacket,Clothing,129.99,2026-01-13 15:29:47,session_349088,desktop
user_4877,purchase,PROD_8805,Car Vacuum,Automotive,39.99,2026-01-13 15:29:47,session_573785,mobile
user_1330,view,PROD_1360,Air Freshener,Automotive,9.99,2026-01-13 15:29:47,session_983127,desktop
user_8079,view,PROD_4715,Board Game,Toys & Games,34.99,2026-01-13 15:29:47,session_846985,mobile
user_4323,purchase,PROD_7915,Python Programming,Books,34.99,2026-01-13 15:29:47,session_639775,mobile
user_9377,view,PROD_8510,Face Cream,Beauty,29.99,2026-01-13 15:29:47,session_443400,mobile
user_2961,view,PROD_1202,Water Bottle,Sports & Outdoors,19.99,2026-01-13 15:29:47,session_648805,desktop
user_2862,purchase,PROD_2485,Remote Control Car,Toys & Games,49.99,2026-01-13 15:29:47,session_225252,tablet
user_9259,purchase,PROD_4749,Action Figure,Toys & Games,24.99,2026-01-13 15:29:47,session_919474,tablet
user_4086,view,PROD_8644,Shampoo,Beauty,12.99,2026-01-13 15:29:47,session_390786,mobile
