user_id,event_type,product_id,product_name,product_category,price,event_timestamp,session_id,device_type
user_6551,purchase,PROD_6076,Winter Jacket,Clothing,129.99,2026-01-13 15:30:12,session_516193,tablet
user_1053,view,PROD_8104,Action Figure,Toys & Games,24.99,2026-01-13 15:30:12,session_361981,desktop
user_7080,view,PROD_3294,Board Game,Toys & Games,34.99,2026-01-13 15:30:12,session_788865,tablet
user_7582,view,PROD_7733,Winter Jacket,Clothing,129.99,2026-01-13 15:30:12,session_292536,mobile
user_1095,purchase,PROD_7549,Bluetooth Speaker,Electronics,49.99,2026-01-13 15:30:12,session_199528,mobile
user_8619,view,PROD_3647,Biography,Books,19.99,2026-01-13 15:30:12,session_128369,desktop
user_1274,view,PROD_3227,Air Freshener,Automotive,9.99,2026-01-13 15:30:12,session_867707,tablet
user_6948,view,PROD_6740,Puzzle,Toys & Games,19.99,2026-01-13 15:30:12,session_273877,tablet
user_1507,view,PROD_3183,Biography,Books,19.99,2026-01-13 15:30:12,session_756414,mobile
user_1703,view,PROD_7992,Car Phone Mount,Automotive,19.99,2026-01-13 15:30:12,session_656493,tablet
