user_id,event_type,product_id,product_name,product_category,price,event_timestamp,session_id,device_type
user_3445,view,PROD_8920,Running Shoes,Clothing,89.99,2026-01-13 15:30:17,session_951168,mobile
user_8575,purchase,PROD_4464,Baseball Cap,Clothing,24.99,2026-01-13 15:30:17,session_161637,mobile
user_8711,view,PROD_7184,Kitchen Knife Set,Home & Kitchen,69.99,2026-01-13 15:30:17,session_542560,mobile
user_4994,purchase,PROD_4345,Remote Control Car,Toys & Games,49.99,2026-01-13 15:30:17,session_296708,desktop
user_4498,view,PROD_1884,Winter Jacket,Clothing,129.99,2026-01-13 15:30:17,session_351220,mobile
user_8106,view,PROD_4924,Action Figure,Toys & Games,24.99,2026-01-13 15:30:17,session_817202,desktop
user_5988,view,PROD_3122,Cotton T-Shirt,Clothing,19.99,2026-01-13 15:30:17,session_791701,mobile
user_2726,purchase,PROD_4615,Kitchen Knife Set,Home & Kitchen,69.99,2026-01-13 15:30:17,session_500104,desktop
user_6955,view,PROD_8305,Blender,Home & Kitchen,59.99,2026-01-13 15:30:17,session_701561,desktop
user_6481,purchase,PROD_5419,Coffee Maker,Home & Kitchen,79.99,2026-01-13 15:30:17,session_134161,mobile
