user_id,event_type,product_id,product_name,product_category,price,event_timestamp,session_id,device_type
user_5730,view,PROD_3691,Hair Dryer,Beauty,44.99,2026-01-13 15:29:02,session_606702,desktop
user_2045,view,PROD_3916,Bed Sheets,Home & Kitchen,39.99,2026-01-13 15:29:02,session_195275,tablet
user_6477,view,PROD_3685,Cookbook,Books,24.99,2026-01-13 15:29:02,session_592158,desktop
user_4416,view,PROD_6878,Shampoo,Beauty,12.99,2026-01-13 15:29:02,session_179748,tablet
user_1230,purchase,PROD_4334,Board Game,Toys & Games,34.99,2026-01-13 15:29:02,session_420036,desktop
user_8618,view,PROD_4795,Denim Jeans,Clothing,45.99,2026-01-13 15:29:02,session_857088,desktop
user_8551,view,PROD_7124,Hair Dryer,Beauty,44.99,2026-01-13 15:29:02,session_984153,tablet
user_1628,view,PROD_4519,USB-C Cable,Electronics,12.99,2026-01-13 15:29:02,session_703775,desktop
user_4961,view,PROD_2378,Face Cream,Beauty,29.99,2026-01-13 15:29:02,session_188412,tablet
user_4360,view,PROD_6037,Laptop Stand,Electronics,34.99,2026-01-13 15:29:02,session_353422,desktop
