user_id,event_type,product_id,product_name,product_category,price,event_timestamp,session_id,device_type
user_8511,view,PROD_3531,Shampoo,Beauty,12.99,2026-01-13 15:30:27,session_482377,tablet
user_5077,purchase,PROD_3501,Car Phone Mount,Automotive,19.99,2026-01-13 15:30:27,session_340837,tablet
user_8775,view,PROD_9520,Bluetooth Speaker,Electronics,49.99,2026-01-13 15:30:27,session_817186,tablet
user_1069,view,PROD_3249,Bluetooth Speaker,Electronics,49.99,2026-01-13 15:30:27,session_359969,mobile
user_8069,view,PROD_6517,Hair Dryer,Beauty,44.99,2026-01-13 15:30:27,session_893641,desktop
user_1205,view,PROD_6405,Dish Set,Home & Kitchen,45.99,2026-01-13 15:30:27,session_375058,desktop
user_5284,view,PROD_1248,Floor Mats,Automotive,34.99,2026-01-13 15:30:27,session_894207,tablet
user_5766,view,PROD_3321,Dish Set,Home & Kitchen,45.99,2026-01-13 15:30:27,session_912369,tablet
user_3023,purchase,PROD_1757,Data Science Handbook,Books,42.99,2026-01-13 15:30:27,session_582400,tablet
user_1847,view,PROD_3067,Python Programming,Books,34.99,2026-01-13 15:30:27,session_684225,desktop
