user_id,event_type,product_id,product_name,product_category,price,event_timestamp,session_id,device_type
user_5864,view,PROD_1208,USB-C Cable,Electronics,12.99,2026-01-13 15:29:32,session_710850,mobile
user_8317,view,PROD_9502,Baseball Cap,Clothing,24.99,2026-01-13 15:29:32,session_467942,desktop
user_5750,view,PROD_4063,Tennis Racket,Sports & Outdoors,89.99,2026-01-13 15:29:32,session_625209,desktop
user_7231,view,PROD_9548,Running Shoes,Clothing,89.99,2026-01-13 15:29:32,session_303315,mobile
user_9195,view,PROD_2104,Phone Case,Electronics,15.99,2026-01-13 15:29:32,session_137557,desktop
user_7530,view,PROD_9644,Baseball Cap,Clothing,24.99,2026-01-13 15:29:32,session_737204,desktop
user_9117,view,PROD_7529,Phone Case,Electronics,15.99,2026-01-13 15:29:32,session_980606,tablet
user_7225,view,PROD_5460,Perfume,Beauty,79.99,2026-01-13 15:29:32,session_887145,tablet
user_3768,view,PROD_4058,USB-C Cable,Electronics,12.99,2026-01-13 15:29:32,session_402296,mobile
user_8685,view,PROD_4120,Winter Jacket,Clothing,129.99,2026-01-13 15:29:32,session_777353,desktop
